League,Season,Stage,Player,Team,GP,MIN,FGM,FGA,3PM,3PA,FTM,FTA,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,birth_year,birth_month,birth_date,height,height_cm,weight,weight_kg,nationality,high_school,draft_round,draft_pick,draft_team,position
NBA,2019 - 2020,Regular_Season,Zach LaVine,CHI,60,"2,085.5","1,530",539,0.45,184,0.38,268,0.802,41,248,289,254,88,28,206,131,1995,Mar,"Mar 10, 1995",6-5,196,200,91,United States,Bothell High School,1,13,Minnesota Timberwolves,SG
NBA,2019 - 2020,Regular_Season,DeMar DeRozan,SAS,68,"2,316.4","1,504",557,0.531,9,0.257,381,0.845,44,331,375,380,70,20,164,180,1989,Aug,"Aug 7, 1989",6-6,198,220,100,United States,Compton High School,1,9,Toronto Raptors,GF
NBA,2019 - 2020,Regular_Season,Brandon Ingram,NOP,62,"2,103.5","1,477",507,0.463,150,0.391,313,0.851,51,328,379,259,61,38,189,179,1997,Sep,"Sep 2, 1997",6-8,203,190,86,United States,Kinston High School,1,2,Los Angeles Lakers,SF
NBA,2019 - 2020,Regular_Season,Nikola Jokic,DEN,73,"2,335.7","1,456",565,0.528,80,0.314,246,0.817,166,545,711,512,85,44,226,222,1995,Feb,"Feb 19, 1995",6-11,211,284,129,Serbia,,2,11,Denver Nuggets,C
NBA,2019 - 2020,Regular_Season,Tobias Harris,PHI,72,"2,469.2","1,411",553,0.471,131,0.367,174,0.806,69,426,495,227,53,40,104,165,1992,Jul,"Jul 15, 1992",6-8,203,226,103,United States,Half Hollow Hills West High School,1,19,Charlotte Hornets,F
NBA,2019 - 2020,Regular_Season,Buddy Hield,SAC,72,"2,216.1","1,382",498,0.429,271,0.394,115,0.846,57,272,329,213,66,17,168,165,1992,Dec,"Dec 17, 1992",6-4,193,220,100,Bahamas,Sunrise Christian Academy,1,6,New Orleans Pelicans,G
NBA,2019 - 2020,Regular_Season,Pascal Siakam,TOR,60,"2,110.3","1,371",500,0.453,131,0.359,240,0.792,64,375,439,207,61,53,148,170,1994,Apr,"Apr 2, 1994",6-8,203,245,111,Cameroon,God's Academy,1,27,Toronto Raptors,F
NBA,2019 - 2020,Regular_Season,Collin Sexton,CLE,65,"2,142.6","1,349",513,0.472,97,0.38,226,0.846,61,143,204,192,65,7,158,142,1999,Jan,"Jan 4, 1999",6-3,191,190,86,United States,Pebblebrook High School,1,8,Cleveland Cavaliers,PG
NBA,2019 - 2020,Regular_Season,Shai Gilgeous-Alexander,OKC,70,"2,428.5","1,331",478,0.471,87,0.347,288,0.807,47,365,412,232,79,47,134,117,1998,Jul,"Jul 12, 1998",6-6,198,195,88,Canada,Hamilton Heights Christian Academy,1,11,Charlotte Hornets,PG
NBA,2019 - 2020,Regular_Season,T.J. Warren,IND,67,"2,202.5","1,326",534,0.536,91,0.403,167,0.819,68,212,280,99,78,34,84,187,1993,Sep,"Sep 5, 1993",6-8,203,220,100,United States,Word of God Christian Academy,1,14,Phoenix Suns,F
NBA,2019 - 2020,Regular_Season,Spencer Dinwiddie,BRK,64,"1,994.1","1,318",424,0.415,123,0.308,347,0.778,32,189,221,432,40,21,174,180,1993,Apr,"Apr 6, 1993",6-5,196,215,98,United States,William Howard Taft High School,2,8,Detroit Pistons,PG
NBA,2019 - 2020,Regular_Season,Khris Middleton,MIL,62,"1,852.8","1,297",471,0.497,147,0.415,208,0.916,44,338,382,265,53,7,137,142,1991,Aug,"Aug 12, 1991",6-7,201,222,101,United States,Porter-Gaud High School,2,9,Detroit Pistons,SF
NBA,2019 - 2020,Regular_Season,Bojan Bogdanovic,UTA,63,"2,082.8","1,275",418,0.447,189,0.414,250,0.903,39,220,259,131,34,7,159,110,1989,Apr,"Apr 18, 1989",6-7,201,226,103,Bosnia and Herzegovina / Croatia,,2,1,Miami Heat,F
NBA,2019 - 2020,Regular_Season,Julius Randle,NYK,64,"2,080.5","1,248",463,0.46,64,0.277,258,0.733,151,471,622,198,51,22,193,178,1994,Nov,"Nov 29, 1994",6-8,203,250,113,United States,Prestonwood Christian Academy,1,7,Los Angeles Lakers,PF
NBA,2019 - 2020,Regular_Season,Chris Paul,OKC,70,"2,207.6","1,232",434,0.489,111,0.365,253,0.907,26,323,349,472,111,11,161,158,1985,May,"May 6, 1985",6-0,183,175,79,United States,West Forsyth High School,1,4,New Orleans Pelicans,PG
NBA,2019 - 2020,Regular_Season,Dennis Schroder,OKC,65,"1,998.9","1,229",453,0.469,125,0.385,198,0.839,19,217,236,262,45,14,166,146,1993,Sep,"Sep 15, 1993",6-1,185,175,79,Germany,,1,17,Atlanta Hawks,PG
NBA,2019 - 2020,Regular_Season,Evan Fournier,ORL,66,"2,075.7","1,221",434,0.467,173,0.399,180,0.818,18,153,171,209,71,15,125,161,1992,Oct,"Oct 29, 1992",6-6,198,205,93,France,,1,20,Denver Nuggets,SG
NBA,2019 - 2020,Regular_Season,Nikola Vucevic,ORL,62,"1,998.3","1,215",493,0.477,98,0.339,131,0.784,140,533,673,222,54,47,88,135,1990,Oct,"Oct 24, 1990",6-10,208,260,118,Switzerland / Montenegro,Stoneridge Prep,1,16,Philadelphia Sixers,PF
NBA,2019 - 2020,Regular_Season,Ja Morant,MEM,67,"2,074.2","1,193",447,0.477,60,0.335,239,0.776,51,208,259,488,58,18,220,110,1999,Aug,"Aug 10, 1999",6-2,188,174,79,United States,Crestwood High School,1,2,Memphis Grizzlies,G
NBA,2019 - 2020,Regular_Season,Lou Williams,LAC,65,"1,863.9","1,185",391,0.418,111,0.352,292,0.861,31,170,201,365,43,12,182,80,1986,Oct,"Oct 27, 1986",6-1,185,175,79,United States,South Gwinnett High School,2,15,Philadelphia Sixers,G
NBA,2019 - 2020,Regular_Season,Dillon Brooks,MEM,73,"2,112.0","1,181",435,0.407,147,0.358,164,0.808,68,175,243,150,63,27,124,278,1996,Jan,"Jan 22, 1996",6-6,198,225,102,Canada,Findlay College Prep,2,15,Houston Rockets,F
NBA,2019 - 2020,Regular_Season,Andrew Wiggins,GSW,54,"1,858.9","1,175",437,0.447,111,0.332,190,0.709,66,208,274,198,45,53,132,127,1995,Feb,"Feb 23, 1995",6-7,201,197,89,Canada,Huntington Prep,1,1,Cleveland Cavaliers,F
NBA,2019 - 2020,Regular_Season,Montrezl Harrell,LAC,63,"1,749.1","1,173",471,0.58,0,0.0,231,0.658,163,282,445,107,39,72,108,146,1994,Jan,"Jan 26, 1994",6-7,201,240,109,United States,Hargrave Military Academy ,2,2,Houston Rockets,F
NBA,2019 - 2020,Regular_Season,Joel Embiid,PHI,51,"1,505.9","1,172",382,0.477,57,0.331,351,0.807,141,452,593,152,45,65,159,174,1994,Mar,"Mar 16, 1994",7-0,213,280,127,Cameroon / United States,The Rock High School,1,3,Philadelphia Sixers,C
NBA,2019 - 2020,Regular_Season,Jrue Holiday,NOP,61,"2,116.9","1,167",458,0.455,122,0.353,129,0.709,77,216,293,408,99,48,184,145,1990,Jun,"Jun 12, 1990",6-4,193,205,93,United States,Campbell Hall School,1,17,Philadelphia Sixers,G
NBA,2019 - 2020,Regular_Season,Kristaps Porzingis,DAL,57,"1,813.8","1,164",398,0.427,142,0.352,226,0.799,100,440,540,102,41,115,92,185,1995,Aug,"Aug 2, 1995",7-2,218,240,109,Latvia,,1,4,New York Knicks,FC
NBA,2019 - 2020,Regular_Season,Danilo Gallinari,OKC,62,"1,834.0","1,160",358,0.438,178,0.405,266,0.893,34,288,322,119,42,5,76,75,1988,Aug,"Aug 8, 1988",6-10,208,236,107,Italy,,1,6,New York Knicks,SF
NBA,2019 - 2020,Regular_Season,Jaylen Brown,BOS,57,"1,933.7","1,159",427,0.481,129,0.382,176,0.724,62,302,364,118,65,20,125,167,1996,Oct,"Oct 24, 1996",6-6,198,223,101,United States,Joseph Wheeler High School,1,3,Boston Celtics,SF
NBA,2019 - 2020,Regular_Season,Jimmy Butler,MIA,58,"1,959.3","1,157",345,0.455,29,0.244,438,0.834,106,280,386,350,103,32,127,81,1989,Sep,"Sep 14, 1989",6-7,201,230,104,United States,Tomball High School,1,30,Chicago Bulls,GF
NBA,2019 - 2020,Regular_Season,Domantas Sabonis,IND,62,"2,158.7","1,147",458,0.54,17,0.254,214,0.723,189,582,771,310,47,30,170,195,1996,May,"May 3, 1996",6-10,208,240,109,United States / Lithuania,,1,11,Orlando Magic,PF
NBA,2019 - 2020,Regular_Season,Bam Adebayo,MIA,72,"2,417.1","1,146",440,0.557,2,0.143,264,0.691,176,559,735,368,82,93,204,182,1997,Jul,"Jul 18, 1997",6-9,206,255,116,United States,High Point Christian Academy,1,14,Miami Heat,C
NBA,2019 - 2020,Regular_Season,Devonte' Graham,CHA,63,"2,211.3","1,145",368,0.382,218,0.373,191,0.82,42,170,212,471,62,15,181,115,1995,Feb,"Feb 22, 1995",6-1,185,195,88,United States,Broughton High School,2,4,Atlanta Hawks,PG
NBA,2019 - 2020,Regular_Season,Kemba Walker,BOS,56,"1,742.5","1,145",378,0.425,180,0.381,209,0.864,36,181,217,268,48,28,117,91,1990,May,"May 8, 1990",6-0,183,184,83,United States,Rice High School,1,9,Charlotte Hornets,G
NBA,2019 - 2020,Regular_Season,Terry Rozier,CHA,63,"2,164.4","1,134",398,0.423,172,0.407,166,0.874,50,226,276,259,61,10,141,126,1994,Mar,"Mar 17, 1994",6-1,185,190,86,United States,Hargrave Military Academy ,1,16,Boston Celtics,G
NBA,2019 - 2020,Regular_Season,Kyle Lowry,TOR,58,"2,098.3","1,126",334,0.416,164,0.352,294,0.857,32,260,292,433,82,26,178,190,1986,Mar,"Mar 25, 1986",6-0,183,196,89,United States,Cardinal Dougherty High School,1,24,Memphis Grizzlies,PG
NBA,2019 - 2020,Regular_Season,Tim Hardaway Jr.,DAL,71,"2,091.2","1,121",384,0.434,204,0.398,149,0.819,25,207,232,137,41,5,69,125,1992,Mar,"Mar 16, 1992",6-5,196,205,93,United States,Palmetto High School,1,24,New York Knicks,SG
NBA,2019 - 2020,Regular_Season,Jamal Murray,DEN,59,"1,903.6","1,091",408,0.456,112,0.346,163,0.881,45,191,236,284,67,17,127,102,1997,Feb,"Feb 23, 1997",6-4,193,215,98,Canada,Athlete Institute Prep,1,7,Denver Nuggets,SG
NBA,2019 - 2020,Regular_Season,Jordan Clarkson,UTA,71,"1,704.7","1,078",394,0.454,152,0.368,138,0.836,50,137,187,136,46,16,97,108,1992,Jun,"Jun 7, 1992",6-3,191,194,88,United States / Philippines,Wagner High School,2,16,Washington Wizards,G
NBA,2019 - 2020,Regular_Season,De'Aaron Fox,SAC,51,"1,634.3","1,077",391,0.48,54,0.292,241,0.705,35,161,196,348,74,25,158,145,1997,Dec,"Dec 20, 1997",6-3,191,185,84,United States,Cypress Lakes High School,1,5,Sacramento Kings,PG
NBA,2019 - 2020,Regular_Season,Harrison Barnes,SAC,72,"2,481.6","1,046",365,0.46,102,0.381,214,0.801,77,278,355,159,43,12,88,93,1992,May,"May 30, 1992",6-8,203,225,102,United States,Ames High School,1,7,Golden State Warriors,SF
NBA,2019 - 2020,Regular_Season,"Kelly Oubre, Jr.",PHX,56,"1,933.4","1,046",373,0.452,108,0.352,192,0.78,67,294,361,85,71,40,83,192,1995,Dec,"Dec 9, 1995",6-7,201,203,92,United States,Findlay College Prep,1,15,Atlanta Hawks,SF
NBA,2019 - 2020,Regular_Season,Jonas Valanciunas,MEM,70,"1,845.2","1,044",432,0.585,32,0.352,148,0.74,213,575,788,131,30,76,127,185,1992,May,"May 6, 1992",6-11,211,265,120,Lithuania,,1,5,Toronto Raptors,C
NBA,2019 - 2020,Regular_Season,Hassan Whiteside,POR,67,"2,008.4","1,040",436,0.621,4,0.571,164,0.686,258,647,905,78,26,196,120,196,1989,Jun,"Jun 13, 1989",7-0,213,265,120,United States,The Patterson School,2,3,Sacramento Kings,C
NBA,2019 - 2020,Regular_Season,Paul George,LAC,48,"1,418.9","1,033",343,0.439,157,0.412,190,0.876,24,248,272,185,68,20,125,113,1990,May,"May 2, 1990",6-8,203,220,100,United States,Pete Knight High School,1,10,Indiana Pacers,GF
NBA,2019 - 2020,Regular_Season,Marcus Morris,LAC,62,"1,936.3","1,033",355,0.438,142,0.408,181,0.823,59,252,311,86,47,30,97,180,1989,Sep,"Sep 2, 1989",6-8,203,218,99,United States,APEX Academy,1,14,Houston Rockets,F
NBA,2019 - 2020,Regular_Season,Rudy Gobert,UTA,68,"2,332.8","1,026",386,0.693,0,0.0,254,0.63,230,686,916,101,51,135,130,215,1992,Jun,"Jun 26, 1992",7-1,216,258,117,France,,1,27,Denver Nuggets,C
NBA,2019 - 2020,Regular_Season,Kendrick Nunn,MIA,67,"1,962.5","1,024",401,0.439,137,0.35,85,0.85,21,159,180,220,56,15,114,152,1995,Aug,"Aug 3, 1995",6-3,191,190,86,United States,Simeon Career Academy ,,,,SG
NBA,2019 - 2020,Regular_Season,Terrence Ross,ORL,69,"1,889.1","1,016",341,0.403,177,0.351,157,0.853,13,209,222,82,77,24,70,109,1991,Feb,"Feb 5, 1991",6-7,201,206,93,United States,Jefferson High School,1,8,Toronto Raptors,SF
NBA,2019 - 2020,Regular_Season,Andre Drummond,CLE,57,"1,878.4","1,010",418,0.533,5,0.143,169,0.575,250,614,864,152,109,93,203,201,1993,Aug,"Aug 10, 1993",6-11,211,279,127,United States,St. Thomas More School,1,9,Detroit Pistons,C
NBA,2019 - 2020,Regular_Season,LaMarcus Aldridge,SAS,53,"1,754.1","1,001",391,0.493,61,0.389,158,0.827,103,289,392,129,36,87,74,128,1985,Jul,"Jul 19, 1985",6-11,211,265,120,United States,Seagoville High School,1,2,Chicago Bulls,FC
NBA,2019 - 2020,Regular_Season,Joe Harris,BRK,69,"2,122.9",998,381,0.486,172,0.424,64,0.719,64,234,298,144,41,17,104,159,1991,Sep,"Sep 6, 1991",6-6,198,220,100,United States,Chelan High School,2,3,Cleveland Cavaliers,SG
NBA,2019 - 2020,Regular_Season,Alec Burks,PHI,66,"1,754.2",993,321,0.418,116,0.385,235,0.887,48,234,282,189,62,17,91,128,1991,Jul,"Jul 20, 1991",6-5,196,214,97,United States,Grandview High School,1,12,Utah Jazz,SG
NBA,2019 - 2020,Regular_Season,"Jaren Jackson, Jr.",MEM,57,"1,622.1",990,353,0.469,145,0.394,139,0.747,55,207,262,78,40,92,99,232,1999,Sep,"Sep 15, 1999",6-10,208,242,110,United States,Park Tudor School,1,4,Memphis Grizzlies,PF
NBA,2019 - 2020,Regular_Season,Kevin Love,CLE,56,"1,780.0",987,327,0.45,146,0.374,187,0.854,54,493,547,178,33,19,140,90,1988,Sep,"Sep 7, 1988",6-8,203,251,114,United States,Lake Oswego High School,1,5,Memphis Grizzlies,FC
NBA,2019 - 2020,Regular_Season,Duncan Robinson,MIA,73,"2,165.6",983,323,0.47,270,0.446,67,0.931,10,222,232,102,35,19,70,193,1994,Apr,"Apr 22, 1994",6-7,201,215,98,United States,Phillips Exeter Academy,,,,F
NBA,2019 - 2020,Regular_Season,Goran Dragic,MIA,59,"1,662.9",953,319,0.441,124,0.367,191,0.776,29,158,187,301,40,10,144,124,1986,May,"May 6, 1986",6-4,193,190,86,Slovenia,,2,15,San Antonio Spurs,G
NBA,2019 - 2020,Regular_Season,Fred VanVleet,TOR,54,"1,928.2",952,319,0.413,146,0.39,168,0.848,18,185,203,357,100,17,121,132,1994,Feb,"Feb 25, 1994",6-0,183,197,89,United States,Auburn High School,,,,G
NBA,2019 - 2020,Regular_Season,Ben Simmons,PHI,57,"2,016.9",937,375,0.58,2,0.286,185,0.621,113,331,444,455,119,33,200,186,1996,Jul,"Jul 20, 1996",6-10,208,240,109,Australia,Montverde Academy,1,1,Philadelphia Sixers,PF
NBA,2019 - 2020,Regular_Season,Bogdan Bogdanovic,SAC,61,"1,765.9",924,337,0.44,164,0.372,86,0.741,26,181,207,207,64,15,102,133,1992,Aug,"Aug 18, 1992",6-5,196,225,102,Serbia,,1,27,Phoenix Suns,SG
NBA,2019 - 2020,Regular_Season,J.J. Redick,NOP,60,"1,581.0",917,286,0.453,180,0.453,165,0.892,10,141,151,119,20,10,75,96,1984,Jun,"Jun 24, 1984",6-4,193,200,91,United States,Cave Spring High School,1,11,Orlando Magic,G
NBA,2019 - 2020,Regular_Season,Eric Bledsoe,MIL,61,"1,646.3",911,334,0.475,74,0.344,169,0.79,43,239,282,328,57,26,148,128,1989,Dec,"Dec 9, 1989",6-1,185,214,97,United States,Parker High School,1,18,Oklahoma City Thunder,PG
NBA,2019 - 2020,Regular_Season,Gordon Hayward,BOS,52,"1,740.0",909,350,0.5,85,0.383,124,0.855,55,293,348,212,38,22,96,96,1990,Mar,"Mar 23, 1990",6-7,201,225,102,United States,Brownsburg High School,1,9,Utah Jazz,GF
NBA,2019 - 2020,Regular_Season,Derrick Rose,DET,50,"1,297.6",904,369,0.49,45,0.306,121,0.871,27,94,121,278,40,16,126,49,1988,Oct,"Oct 4, 1988",6-3,191,200,91,United States,Simeon Career Academy ,1,1,Chicago Bulls,PG
NBA,2019 - 2020,Regular_Season,Carmelo Anthony,POR,58,"1,902.0",895,336,0.43,87,0.385,136,0.845,71,297,368,85,49,27,100,171,1984,May,"May 29, 1984",6-8,203,240,109,United States,Oak Hill Academy,1,3,Denver Nuggets,F
NBA,2019 - 2020,Regular_Season,Aaron Gordon,ORL,62,"2,017.2",894,335,0.437,73,0.308,151,0.674,107,368,475,228,51,39,100,125,1995,Sep,"Sep 16, 1995",6-8,203,235,107,United States,Archbishop Mitty High School,1,4,Orlando Magic,F
NBA,2019 - 2020,Regular_Season,Malcolm Brogdon,IND,54,"1,666.3",893,326,0.438,75,0.326,166,0.892,46,216,262,381,35,10,131,98,1992,Dec,"Dec 11, 1992",6-4,193,229,104,United States,Greater Atlanta Christian School,2,6,Milwaukee Bucks,SG
NBA,2019 - 2020,Regular_Season,Will Barton,DEN,58,"1,915.9",874,332,0.45,108,0.375,102,0.767,76,289,365,212,61,29,88,121,1991,Jan,"Jan 6, 1991",6-5,196,181,82,United States,Brewster Academy,2,10,Portland Trail Blazers,GF
NBA,2019 - 2020,Regular_Season,Robert Covington,HOU,70,"2,136.8",870,305,0.422,161,0.335,99,0.798,63,400,463,88,115,93,103,220,1990,Dec,"Dec 14, 1990",6-7,201,209,95,United States,Proviso West High School,,,,F
NBA,2019 - 2020,Regular_Season,Markelle Fultz,ORL,72,"1,996.0",870,359,0.465,36,0.267,116,0.73,41,197,238,369,90,11,147,142,1998,May,"May 29, 1998",6-4,193,209,95,United States,DeMatha Catholic High School,1,1,Philadelphia Sixers,PG
NBA,2019 - 2020,Regular_Season,Coby White,CHI,65,"1,674.0",859,312,0.394,133,0.354,102,0.791,28,202,230,175,49,6,109,117,2000,Feb,"Feb 16, 2000",6-5,196,195,88,United States,Greenfield School,1,7,Chicago Bulls,PG
NBA,2019 - 2020,Regular_Season,Jerami Grant,DEN,71,"1,891.8",851,303,0.478,98,0.389,147,0.75,58,190,248,88,50,57,63,154,1994,Mar,"Mar 12, 1994",6-7,201,210,95,United States,DeMatha Catholic High School,2,9,Philadelphia Sixers,F
NBA,2019 - 2020,Regular_Season,Ricky Rubio,PHX,65,"2,016.4",847,287,0.415,78,0.361,195,0.863,46,258,304,570,94,11,173,167,1990,Oct,"Oct 21, 1990",6-2,188,190,86,Spain,,1,5,Minnesota Timberwolves,G
NBA,2019 - 2020,Regular_Season,Serge Ibaka,TOR,55,"1,484.7",845,343,0.512,70,0.385,89,0.718,114,338,452,77,28,46,109,153,1989,Sep,"Sep 18, 1989",6-10,208,235,107,Republic of the Congo / Spain,,1,24,Seattle SuperSonics,C
NBA,2019 - 2020,Regular_Season,Miles Bridges,CHA,65,"1,995.5",843,319,0.424,99,0.33,106,0.809,88,274,362,114,40,48,95,132,1998,Mar,"Mar 21, 1998",6-7,201,225,102,United States,Huntington Prep,1,12,Los Angeles Clippers,SF
NBA,2019 - 2020,Regular_Season,Eric Paschall,GSW,60,"1,653.9",837,318,0.497,37,0.287,164,0.774,82,193,275,127,32,13,94,125,1996,Nov,"Nov 4, 1996",6-6,198,255,116,United States,St. Thomas More School,2,11,Golden State Warriors,F
NBA,2019 - 2020,Regular_Season,Davis Bertans,WAS,54,"1,583.1",834,265,0.434,200,0.424,104,0.852,35,210,245,92,37,33,59,139,1992,Nov,"Nov 12, 1992",6-10,208,225,102,Latvia,,2,12,Indiana Pacers,SF
NBA,2019 - 2020,Regular_Season,Nemanja Bjelica,SAC,72,"2,011.1",831,314,0.481,134,0.419,69,0.821,111,347,458,203,62,40,99,216,1988,May,"May 9, 1988",6-10,208,235,107,Serbia,,2,5,Washington Wizards,PF
NBA,2019 - 2020,Regular_Season,Norman Powell,TOR,52,"1,478.8",830,296,0.495,109,0.399,129,0.843,26,164,190,91,60,21,77,108,1993,May,"May 25, 1993",6-4,193,215,98,United States,Lincoln High School ,2,16,Milwaukee Bucks,SG
NBA,2019 - 2020,Regular_Season,Brook Lopez,MIL,68,"1,817.0",813,292,0.435,102,0.314,127,0.836,58,254,312,99,46,163,70,163,1988,Apr,"Apr 1, 1988",7-1,216,282,128,United States,San Joaquin Memorial High School,1,10,New Jersey Nets,C
NBA,2019 - 2020,Regular_Season,Christian Wood,DET,62,"1,324.6",810,288,0.567,54,0.386,180,0.744,104,286,390,60,34,54,84,98,1995,Sep,"Sep 27, 1995",6-8,203,214,97,United States,Findlay College Prep,,,,PF
NBA,2019 - 2020,Regular_Season,R.J. Barrett,NYK,56,"1,704.5",803,292,0.402,63,0.32,156,0.614,50,229,279,143,55,17,124,122,2000,Jun,"Jun 14, 2000",6-6,198,214,97,Canada,Montverde Academy,1,3,New York Knicks,SG
NBA,2019 - 2020,Regular_Season,Al Horford,PHI,67,"2,025.6",798,319,0.45,99,0.35,61,0.763,103,353,456,270,52,61,80,142,1986,Jun,"Jun 3, 1986",6-9,206,240,109,Dominican Republic / United States,Grand Ledge High School,1,3,Atlanta Hawks,FC
NBA,2019 - 2020,Regular_Season,Seth Curry,DAL,64,"1,575.6",793,284,0.495,145,0.452,80,0.825,27,118,145,124,38,9,62,113,1990,Aug,"Aug 23, 1990",6-1,185,185,84,United States,Charlotte Christian School,,,,G
NBA,2019 - 2020,Regular_Season,Kyle Kuzma,LAL,61,"1,526.2",782,291,0.436,86,0.316,114,0.735,52,221,273,80,28,26,91,126,1995,Jul,"Jul 24, 1995",6-9,206,221,100,United States,Rise Academy,1,27,Brooklyn Nets,F
NBA,2019 - 2020,Regular_Season,De'Andre Hunter,ATL,63,"2,017.9",778,280,0.41,108,0.355,110,0.764,44,242,286,112,44,18,103,182,1997,Dec,"Dec 2, 1997",6-8,203,221,100,United States,Friends' Central School,1,4,Los Angeles Lakers,PF
NBA,2019 - 2020,Regular_Season,Marcus Smart,BOS,60,"1,919.3",776,256,0.375,137,0.347,127,0.836,42,183,225,291,101,29,104,162,1994,Mar,"Mar 6, 1994",6-3,191,220,100,United States,Marcus High School,1,6,Boston Celtics,PG
NBA,2019 - 2020,Regular_Season,Jarrett Allen,BRK,70,"1,852.0",775,302,0.649,0,0.0,171,0.633,216,455,671,110,40,92,77,162,1998,Apr,"Apr 21, 1998",6-9,206,243,110,United States,St. Stephen's Episcopal School,1,22,Brooklyn Nets,C
NBA,2019 - 2020,Regular_Season,Taurean Prince,BRK,64,"1,857.4",773,278,0.376,146,0.339,71,0.798,50,331,381,116,57,25,127,159,1994,Mar,"Mar 22, 1994",6-6,198,218,99,United States,Warren High School,1,12,Utah Jazz,F
NBA,2019 - 2020,Regular_Season,Patty Mills,SAS,66,"1,484.7",767,258,0.431,154,0.382,97,0.866,22,86,108,118,53,6,54,105,1988,Aug,"Aug 11, 1988",6-2,188,180,82,Australia,Australian Institute of Sport,2,25,Portland Trail Blazers,G
